,data_ref,inad_total,inad_total_L1,inad_total_L2,inad_total_L3,inad_total_L4,inad_total_L5,inad_total_L6,data_alvo,inad_total_h1
0,2019-07-01,3.06,2.95,3.05,3.02,2.99,2.91,2.95,2019-08-01,3.04
1,2019-08-01,3.04,3.06,2.95,3.05,3.02,2.99,2.91,2019-09-01,3.06
2,2019-09-01,3.06,3.04,3.06,2.95,3.05,3.02,2.99,2019-10-01,3.03
3,2019-10-01,3.03,3.06,3.04,3.06,2.95,3.05,3.02,2019-11-01,3.0
4,2019-11-01,3.0,3.03,3.06,3.04,3.06,2.95,3.05,2019-12-01,2.94
5,2019-12-01,2.94,3.0,3.03,3.06,3.04,3.06,2.95,2020-01-01,3.0
6,2020-01-01,3.0,2.94,3.0,3.03,3.06,3.04,3.06,2020-02-01,3.04
7,2020-02-01,3.04,3.0,2.94,3.0,3.03,3.06,3.04,2020-03-01,3.18
8,2020-03-01,3.18,3.04,3.0,2.94,3.0,3.03,3.06,2020-04-01,3.29
9,2020-04-01,3.29,3.18,3.04,3.0,2.94,3.0,3.03,2020-05-01,3.24
10,2020-05-01,3.24,3.29,3.18,3.04,3.0,2.94,3.0,2020-06-01,2.89
11,2020-06-01,2.89,3.24,3.29,3.18,3.04,3.0,2.94,2020-07-01,2.76
12,2020-07-01,2.76,2.89,3.24,3.29,3.18,3.04,3.0,2020-08-01,2.65
13,2020-08-01,2.65,2.76,2.89,3.24,3.29,3.18,3.04,2020-09-01,2.43
14,2020-09-01,2.43,2.65,2.76,2.89,3.24,3.29,3.18,2020-10-01,2.35
15,2020-10-01,2.35,2.43,2.65,2.76,2.89,3.24,3.29,2020-11-01,2.23
16,2020-11-01,2.23,2.35,2.43,2.65,2.76,2.89,3.24,2020-12-01,2.11
17,2020-12-01,2.11,2.23,2.35,2.43,2.65,2.76,2.89,2021-01-01,2.14
18,2021-01-01,2.14,2.11,2.23,2.35,2.43,2.65,2.76,2021-02-01,2.23
19,2021-02-01,2.23,2.14,2.11,2.23,2.35,2.43,2.65,2021-03-01,2.13
20,2021-03-01,2.13,2.23,2.14,2.11,2.23,2.35,2.43,2021-04-01,2.19
21,2021-04-01,2.19,2.13,2.23,2.14,2.11,2.23,2.35,2021-05-01,2.33
22,2021-05-01,2.33,2.19,2.13,2.23,2.14,2.11,2.23,2021-06-01,2.27
23,2021-06-01,2.27,2.33,2.19,2.13,2.23,2.14,2.11,2021-07-01,2.31
24,2021-07-01,2.31,2.27,2.33,2.19,2.13,2.23,2.14,2021-08-01,2.31
25,2021-08-01,2.31,2.31,2.27,2.33,2.19,2.13,2.23,2021-09-01,2.28
26,2021-09-01,2.28,2.31,2.31,2.27,2.33,2.19,2.13,2021-10-01,2.28
27,2021-10-01,2.28,2.28,2.31,2.31,2.27,2.33,2.19,2021-11-01,2.31
