tipo_relatorio,modelo_sentimento,modelo,lag,coluna_sentimento,ordem_arima,n_treino,n_teste,n_predicoes_validas,n_erros_ajuste,MAE,RMSE,R2,Bias (obs-prev),Delta_RMSE_pct_vs_base,Delta_MAE_pct_vs_base,Delta_R2_vs_base
estatisticas,bert,ARIMAX + estatisticas | bert | L1,1,estatisticas_score_bert_l1,"(2, 0, 0)",36,33,33,0,0.077523,0.096475,0.886547,-0.0,5.215,2.4549,0.012829
estatisticas,nltk,ARIMAX + estatisticas | nltk | L6,6,estatisticas_score_nltk_l6,"(2, 0, 0)",36,33,33,0,0.075238,0.097667,0.883725,0.0,4.0439,5.33,0.010007
copom,finbert,ARIMAX + copom | finbert | L3,3,copom_score_finbert_l3,"(2, 0, 0)",36,33,33,0,0.076481,0.098875,0.880831,-0.0,2.8571,3.766,0.007113
copom,mistral,ARIMAX + copom | mistral | L3,3,copom_score_mistral_l3,"(2, 0, 0)",36,33,33,0,0.078217,0.099314,0.879772,-0.0,2.4257,1.5816,0.006054
copom,media,ARIMAX + copom | media | L3,3,copom_score_media_l3,"(2, 0, 0)",36,33,33,0,0.078053,0.100075,0.877922,-0.0,1.6781,1.788,0.004204
copom,textblob,ARIMAX + copom | textblob | L3,3,copom_score_textblob_l3,"(2, 0, 0)",36,33,33,0,0.078521,0.100212,0.877587,0.0,1.5435,1.1991,0.003869
estatisticas,finbert,ARIMAX + estatisticas | finbert | L4,4,estatisticas_score_finbert_l4,"(2, 0, 0)",36,33,33,0,0.080607,0.100895,0.875913,0.0,0.8724,-1.4256,0.002195
copom,nltk,ARIMAX + copom | nltk | L4,4,copom_score_nltk_l4,"(2, 0, 0)",36,33,33,0,0.078316,0.101204,0.875152,-0.0,0.5689,1.4571,0.001434
estatisticas,textblob,ARIMAX + estatisticas | textblob | L1,1,estatisticas_score_textblob_l1,"(2, 0, 0)",36,33,33,0,0.079729,0.101576,0.874232,-0.0,0.2034,-0.3209,0.000514
copom,bert,ARIMAX + copom | bert | L5,5,copom_score_bert_l5,"(2, 0, 0)",36,33,33,0,0.079947,0.101809,0.873653,0.0,-0.0255,-0.5952,-6.5e-05
estatisticas,mistral,ARIMAX + estatisticas | mistral | L2,2,estatisticas_score_mistral_l2,"(2, 0, 0)",36,33,33,0,0.078933,0.102118,0.872886,-0.0,-0.3291,0.6807,-0.000832
estatisticas,media,ARIMAX + estatisticas | media | L1,1,estatisticas_score_media_l1,"(2, 0, 0)",36,33,33,0,0.07999,0.102228,0.872612,0.0,-0.4372,-0.6493,-0.001106
